HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
CLICK HIRIKETIYA,5.9607157,80.7028909,2,3,27
Clive Garden Luxury Boutique Hotel & SPA,6.6599211,79.929814,1,2,51.6
Clock Inn Colombo,6.8973336,79.8543922,21,24,64
Clock Inn Dehiwala,6.850997,79.867775,7,10,68.8
Closenberg Hotel,6.0316491,80.2350972,6,26,62.4
Cloud Nine Lanka Resort- Independent Hotels & Motels,8.1303262,79.8382797,1,0,60
Cloudz Sigiriya,7.920459,80.718382,1,1,49.2
Clove Transit Hotel,7.1455471,79.9326216,0,0,51.6
Clove Villa,7.3248881,80.6316732,14,4,55.2
Club Bentota,6.4373579,79.99165,10,15,68.8
Club Hotel Dolphin,7.2937911,79.8395773,3,1,88
Club Villa Bentota,6.414093,79.999045,7,13,52.8
Club Waskaduwa Beach Resort & Spa,6.6162874,79.9456969,2,6,65.6
Coco Cabana Kite Resort Kalpitiya,8.2245486,79.7314575,0,4,28.2
Coco Palm Villa,6.6017861,79.9507016,2,5,23.4
Coco Royal Beach Resort,6.6136433,79.947206,2,6,80
Coco Tangalla,6.0204321,80.795669,8,5,50.4
COCO WELIGAMA,5.9735994,80.4373039,3,13,28.8
CocoBay Unawatuna,6.027352,80.242349,5,12,72
Coconut Escapes,7.4877578,80.4668138,0,1,55.2
Coconut Style Restaurant,6.0110244,80.2481827,3,19,52.8
Cocoon Resort & Villas,6.3740906,80.0221409,2,5,46.8
CocoVille,7.910316,81.565127,1,2,25.2
Colive,5.9705145,80.3715683,3,8,29.4
Colombo Airport Homestay,7.120615,79.910653,5,1,28.2
Colombo Beach Hostel,6.8399424,79.8645826,5,5,49.2
Colombo City Hotel,6.9338107,79.8439633,17,47,18.6
Colombo City Hotels,6.933362,79.8440782,17,49,59.2
Colombo Courtyard,6.897765,79.856454,21,25,68.8
Colombo guest,6.9433292,79.8639423,20,29,45.6
Colombo Guest Maradana,6.9316758,79.8614858,27,53,43.2
Colombo Lavinia Beach Hostel,6.8416939,79.8637864,4,5,51.6
Colombo Mount Beach Hostel,6.8315707,79.8651589,5,7,27
Colombo Riverdale Hotel,6.9449241,79.9169621,3,5,24
Colpetty House,6.9038892,79.8552336,22,34,51.6
Comfort@15,6.9083356,79.8495169,23,33,45.6
Concord Grand Hotel,6.8553636,79.8655675,13,10,60.8
Cool Beach Hotel,6.1967433,80.0629508,16,1,46.8
Cool Vibes Beach House - Restaurant & Retreat,6.0334145,80.236478,6,17,56.4
Coral Beach Hotel,5.944258,80.454768,3,20,44.4
Coral reef sea food restaurant and guest,6.4508006,79.9790271,7,7,57.6
Coral Rock by Bansei,6.1343677,80.1000658,15,12,68.8
Coral Sands Hotel,6.1361546,80.0997543,16,11,64
Coral Seas Beach Hikkaduwa,6.1342443,80.1001217,14,12,51.6
Cosy Hotel & Restaurant,6.875024,79.8727963,19,13,15
Cottage Tourist Rest,8.3323962,80.4155644,11,3,44.4
Cozy Sea View Inn,6.1392485,80.0999888,18,11,54
Crescent Resort Unawatuna,6.0234707,80.2467233,5,15,48
Crescent Sea Resort,8.69238,81.193605,0,2,49.2
Crown Holiday Village,7.4219534,79.8561016,3,1,49.2
Crystal Oceanic Hotel,5.976704,80.353673,4,9,22.2
Crystal Palace,6.8715231,79.8643102,17,12,0
Crystal Resort Dikwella,5.963714,80.6994949,2,5,43.2
Crystal Sands,6.8922261,79.8566652,17,22,27
CTC Receptions,8.3235877,80.4002305,9,7,60.8
Culture Resort,5.9371457,80.5278015,3,9,72
Cycling Hostel Sri Lanka,6.0219,80.2497035,5,16,26.4
D Canal House - Mirissa,5.9483324,80.4657278,3,21,55.2
D Pavilion Colombo,6.8752272,79.873551,19,14,50.4
D Plus B&B Negombo,7.230622,79.841451,2,9,55.2
D' Villa Garden House,9.6587891,80.0370423,3,10,54
D Villas,6.8864759,79.8894728,16,6,24
Dad's Holiday Home,7.4872024,80.6266017,4,3,51.6
Dambulla Rock Arch,7.877732,80.651767,5,2,54
Dambulla Tourist Resort - Owner Thushari Ranaraja,7.8628604,80.6514971,5,6,52.8
Dambulu Oya Family Park - Paradise Waters,7.8061051,80.6595317,0,0,46.8
Dandelion - Unawatuna,6.0142182,80.2491536,3,18,26.4
Dazzling Villa,7.3265319,80.6363875,14,5,26.4
DE SILVA Palmresort Kalpitiya - Kitesurfen Srilanka,8.2311746,79.7434854,0,2,55.2
Delight Guest House & Restaurant,6.8956858,79.9315411,4,5,0
DELIGHT REICH HOTEL PVT LTD.,7.2709367,80.5916028,5,8,48
Dephani Beach Hotel,7.2277741,79.8401221,2,9,57.6
Deutsch Lanka Hotel,6.1747762,80.0817162,21,4,44.4
Devoni Nature Resort,5.9509479,80.547624,3,14,19.2
Dew Grand Regency,6.0357226,80.2333611,7,24,24.6
Dew Guest House and Restaurant,6.027155,80.2152036,10,35,51.6
Deyon's Nature Castle,7.3034607,80.6284767,13,31,57.6
D-Family Resort,8.310636,80.380783,3,0,50.4
Di Sicuro Tourist Inn,6.132234,80.102168,16,13,54
Dickman Resort,7.2409393,79.843603,1,7,27
Dickwella Beach Hotel,5.9640646,80.6980572,2,5,70.4
Dickwella Resort And Spa,5.959017,80.6859674,1,3,86
Dilara Resort,5.947452,80.454909,3,22,52.8
Dilena Beach Inn,6.033668,80.8011731,8,3,51.6
DiNi Galle,6.050282,80.1892395,19,10,27
Dinsara Pearl Villa,5.955716,80.418475,2,11,27.6
Dionis Villa,6.012729,80.241918,3,15,24.6
Divine Villa,8.3613833,80.4230441,4,3,28.2
Dolosmahe Guest House,8.3036289,80.1483415,0,1,27
Dot Bay Beach Cabana,8.6067199,81.21875,1,6,28.2
Dots Bay House,5.9627997,80.7080156,2,3,64
Dream Garden Resort,6.902146,81.8432033,0,6,55.2
Dream Palace Family Guest House,5.9457054,80.4592956,3,22,55.2
Dreamtime Sri Lanka,6.1195122,80.1184889,15,9,57.6
Dreamvillage Beach Cabana & Restaurant,6.0973492,80.1305828,13,10,26.4
Drifters Hotel & Beach Restaurant,6.1254014,80.108104,17,14,46.8
Drivethru Surfcamps,5.938617,80.508245,2,11,27
Drop Inn,6.8866143,79.8725759,18,12,48
Dudley Nature Resort,8.0306149,80.7545211,0,7,50.4
Dulnetha Homestay & Restaurant,5.9732223,80.4337334,4,14,75.2
Dumbara Peak Residence,7.2948703,80.6359868,14,37,48
Dumindu Hotel & Banquet Hall,5.9645906,80.6152591,1,0,70.4
Dunes Unawatuna Hotel,6.011639,80.2482034,3,19,55.2
Dutch Bay Resorts,8.2743974,79.756428,0,0,19.2
Dutch Trails Sri Lanka,7.1163529,79.8449957,1,0,55.2
D'Villa Guest House,9.6608698,80.0342081,3,14,50.4
Eagles Nest Cabanas,6.0449041,80.8243264,0,4,27.6
Eagle's Residence,7.2862393,80.6413275,13,36,26.4
